[0.09, 0.065, 0.04666666666666667, 0.0475, 0.042, 0.043333333333333335, 0.04428571428571428, 0.0525, 0.05555555555555555, 0.063, 0.065, 0.089, 0.104, 0.115, 0.133, 0.147, 0.16, 0.164, 0.184, 0.19, 0.213, 0.206, 0.228, 0.24, 0.26, 0.278, 0.307, 0.326, 0.351, 0.378, 0.377, 0.384, 0.382, 0.395, 0.394, 0.381, 0.416, 0.414, 0.398, 0.391, 0.404, 0.436, 0.442, 0.478, 0.508, 0.53, 0.494, 0.549, 0.601, 0.737, 0.823, 0.903, 0.98, 1.027, 1.142, 1.288, 1.484, 1.656, 1.861, 2.015, 2.438, 2.919, 3.464, 4.146, 4.701, 5.474, 6.277, 7.079, 7.991]
[0.06, 0.055, 0.08333333333333333, 0.075, 0.074, 0.075, 0.08285714285714285, 0.0975, 0.10777777777777778, 0.118, 0.142, 0.173, 0.192, 0.241, 0.28, 0.312, 0.323, 0.344, 0.367, 0.402, 0.421, 0.447, 0.47, 0.46, 0.463, 0.467, 0.526, 0.578, 0.579, 0.591, 0.601, 0.636, 0.697, 0.763, 0.82, 0.9, 0.912, 0.959, 1.068, 1.14, 1.291, 1.371, 1.503, 1.754, 1.983, 2.389, 2.859, 3.446, 4.148, 4.708, 5.365, 6.197, 7.153, 7.858, 8.678, 9.397, 10.337, 11.116, 11.797, 12.545, 13.164, 13.621, 13.981, 14.527, 14.857, 15.175, 15.168, 15.242, 15.215]
[0.12, 0.13, 0.13333333333333333, 0.13, 0.136, 0.14, 0.15142857142857144, 0.16125, 0.16666666666666666, 0.173, 0.186, 0.2, 0.212, 0.224, 0.237, 0.238, 0.24, 0.262, 0.282, 0.306, 0.316, 0.333, 0.346, 0.373, 0.409, 0.438, 0.469, 0.52, 0.545, 0.585, 0.643, 0.697, 0.811, 1.016, 1.152, 1.47, 1.874, 2.368, 2.992, 3.601, 4.312, 5.01, 5.744, 6.382, 7.226, 7.905, 8.477, 9.093, 9.578, 10.143, 10.68, 11.302, 11.756, 12.307, 12.594, 12.974, 13.415, 13.632, 14.035, 14.341, 14.593, 14.765, 14.963, 14.992, 15.137, 15.198, 15.268, 15.365, 15.279]
[0.05, 0.045, 0.03666666666666667, 0.05, 0.068, 0.06666666666666667, 0.07857142857142857, 0.0975, 0.11666666666666667, 0.14, 0.154, 0.165, 0.181, 0.199, 0.212, 0.238, 0.246, 0.256, 0.256, 0.239, 0.244, 0.26, 0.263, 0.259, 0.243, 0.234, 0.244, 0.248, 0.27, 0.307, 0.322, 0.345, 0.376, 0.445, 0.639, 0.899, 1.295, 1.784, 2.322, 2.882, 3.567, 4.37, 5.151, 5.942, 6.834, 7.549, 8.009, 8.587, 9.145, 9.743, 10.202, 10.673, 11.3, 12.037, 12.502, 13.054, 13.63, 14.134, 14.543, 14.992, 15.32, 15.557, 15.591, 15.582, 15.559, 15.564, 15.661, 15.575, 15.618]
[0.08, 0.085, 0.07333333333333333, 0.0775, 0.09, 0.08666666666666667, 0.09, 0.09875, 0.10333333333333333, 0.106, 0.111, 0.115, 0.127, 0.132, 0.136, 0.141, 0.144, 0.139, 0.136, 0.128, 0.123, 0.119, 0.111, 0.109, 0.099, 0.094, 0.09, 0.091, 0.091, 0.094, 0.093, 0.093, 0.093, 0.09, 0.102, 0.116, 0.144, 0.159, 0.184, 0.201, 0.229, 0.254, 0.273, 0.286, 0.314, 0.381, 0.446, 0.721, 1.099, 1.931, 2.747, 3.693, 4.868, 6.186, 7.56, 8.821, 10.244, 11.463, 12.709, 13.42, 14.073, 14.704, 15.046, 15.299, 15.384, 15.607, 15.774, 15.825, 15.775]
[0.07, 0.065, 0.06666666666666667, 0.08, 0.094, 0.11666666666666667, 0.13, 0.1325, 0.13333333333333333, 0.131, 0.15, 0.168, 0.191, 0.207, 0.22, 0.218, 0.23, 0.243, 0.26, 0.272, 0.275, 0.281, 0.275, 0.268, 0.265, 0.261, 0.253, 0.255, 0.261, 0.288, 0.303, 0.301, 0.303, 0.338, 0.384, 0.42, 0.435, 0.445, 0.537, 0.568, 0.63, 0.701, 0.731, 0.718, 0.733, 0.822, 0.841, 0.919, 0.944, 0.981, 1.001, 1.156, 1.38, 1.867, 2.423, 3.039, 3.743, 4.375, 5.077, 5.763, 6.5, 7.236, 8.099, 8.898, 9.591, 10.286, 11.004, 11.717, 12.335]
[0.09, 0.055, 0.05333333333333334, 0.0725, 0.072, 0.075, 0.08, 0.08875, 0.09444444444444444, 0.104, 0.11, 0.124, 0.14, 0.142, 0.162, 0.179, 0.217, 0.243, 0.268, 0.297, 0.325, 0.365, 0.392, 0.423, 0.453, 0.487, 0.48, 0.488, 0.525, 0.552, 0.652, 0.648, 0.687, 0.668, 0.67, 0.69, 0.695, 0.695, 0.725, 0.779, 0.788, 0.934, 1.043, 1.265, 1.511, 1.786, 2.248, 2.807, 3.37, 3.856, 4.412, 4.987, 5.651, 6.481, 7.318, 8.061, 8.792, 9.61, 10.349, 11.136, 11.919, 12.61, 13.195, 13.701, 14.055, 14.598, 14.855, 14.978, 15.067]
[0.09, 0.05, 0.05333333333333334, 0.0675, 0.072, 0.085, 0.10285714285714286, 0.1225, 0.12666666666666668, 0.132, 0.139, 0.162, 0.181, 0.2, 0.218, 0.218, 0.215, 0.206, 0.206, 0.209, 0.221, 0.217, 0.229, 0.226, 0.23, 0.248, 0.27, 0.292, 0.32, 0.364, 0.405, 0.446, 0.46, 0.487, 0.501, 0.501, 0.508, 0.506, 0.492, 0.465, 0.429, 0.405, 0.394, 0.399, 0.422, 0.464, 0.462, 0.49, 0.6, 0.734, 0.888, 1.563, 2.387, 3.259, 4.157, 5.24, 6.445, 7.684, 8.918, 10.254, 11.531, 12.411, 13.136, 13.79, 14.376, 14.783, 15.06, 15.18, 15.326]
[0.08, 0.075, 0.09666666666666666, 0.0875, 0.096, 0.10666666666666667, 0.12714285714285714, 0.135, 0.15777777777777777, 0.167, 0.18, 0.184, 0.193, 0.212, 0.223, 0.222, 0.22, 0.232, 0.227, 0.236, 0.253, 0.296, 0.314, 0.344, 0.375, 0.388, 0.423, 0.439, 0.486, 0.566, 0.62, 0.622, 0.67, 0.673, 0.678, 0.707, 0.74, 0.766, 0.778, 0.761, 0.809, 0.877, 1.045, 1.097, 1.216, 1.464, 1.779, 2.217, 2.723, 3.3, 4.198, 5.147, 6.028, 7.138, 8.426, 9.594, 10.758, 11.792, 12.777, 13.707, 14.243, 14.713, 15.159, 15.476, 15.517, 15.527, 15.431, 15.436, 15.321]
[0.04, 0.045, 0.09, 0.09, 0.086, 0.09166666666666666, 0.09714285714285714, 0.10375, 0.11222222222222222, 0.123, 0.141, 0.16, 0.164, 0.181, 0.207, 0.231, 0.24, 0.244, 0.239, 0.231, 0.238, 0.241, 0.242, 0.233, 0.23, 0.225, 0.239, 0.249, 0.267, 0.297, 0.298, 0.304, 0.328, 0.344, 0.352, 0.359, 0.36, 0.381, 0.387, 0.391, 0.4, 0.414, 0.393, 0.389, 0.385, 0.383, 0.375, 0.344, 0.324, 0.288, 0.265, 0.234, 0.23, 0.217, 0.215, 0.206, 0.208, 0.225, 0.244, 0.273, 0.296, 0.321, 0.334, 0.343, 0.324, 0.327, 0.327, 0.327, 0.323]
